,std_MP_median,freq_p_change,control_cum_log_real_sales_lag1,control_cum_log_real_sales_lag2,control_cum_log_real_sales_lag3,control_cum_log_real_sales_lag4,std_MP_median_lag1,std_MP_median_lag2,std_MP_median_lag3,std_MP_median_lag4,std_MP_median_avg_upstreamness,avg_upstreamness
0,-0.004966542978879895,-0.17065594472608175,-0.6952999853270092,-0.4791750736806684,-0.34901701536282687,0.0008222693506953594,-0.024163168155828058,-0.006182156303349064,-0.0033736933319406933,0.00843607371013471,-0.0019266336014270521,-0.00029086597450759687
1,-0.03655897570113342,0.022404107761396334,-0.7063627117665852,-0.5174254912901562,-0.1264275785546816,-0.026827675657188008,-0.01618980888285613,-0.006163190499938006,0.006599445693382482,-0.0016635060998695566,0.0033090521243678292,-0.0015181062485300123
2,-0.01415207194579768,-0.23655298716419076,-0.7438604204395426,-0.2962799026824139,-0.16718339930516102,-0.045518056249528344,-0.01670854912343871,-0.0018108682204856668,-0.0047912532971858485,0.0059130595234476,0.00041059431250024743,-0.005302024923686062
3,-0.015553071242743854,0.13820677495588776,-0.5471553598398626,-0.38972459524282654,-0.2730578651152341,-0.18390820916770212,-0.013132120564323009,-0.008824469632957936,0.0032392735738648133,0.00586763087975411,-0.0025357621207540986,-0.0050565910963042355
4,-0.005064634463133617,-0.21698236289709172,-0.7312569071161837,-0.5289308609574414,-0.3886996978922824,-0.03561479506886602,-0.02377100270596083,-0.006125851102377259,0.0030958386460388254,0.013916459072800227,-0.003051535853824297,-0.006396104316982934
5,-0.03033417798637478,0.08723656405965137,-0.7483261036923506,-0.5632994851001492,-0.18232791272193047,-0.06009944886497142,-0.014676804004453618,-0.0004172937633694354,0.011446274391353567,0.0021395513598230264,0.001691099749583362,-0.007408645377510276
6,-0.007805380288150431,-0.14324272036295801,-0.7752711945556273,-0.35149287173693333,-0.21030046385525009,-0.070972151419226,-0.011011806641803396,0.0037057946892595675,-0.00030027694937425096,0.00814837483314141,-0.0023116685469243697,-0.004846642092617892
7,-0.016189682704998237,0.35847771158659675,-0.5946880733762238,-0.4341483778736781,-0.3072884870648797,-0.20138252147836033,-0.008071497206841227,-0.0053165279253551325,0.00335538564018965,0.005399674397059199,0.0007556122133676354,-0.005201441621906955
8,-0.0005237111507102524,-0.03573708193697656,-0.7538277624723861,-0.5540377910343249,-0.40785737660407956,-0.05140572013770739,-0.023992684746086707,-0.008564478275943987,0.0061024812255649555,0.032098483122109334,-0.0028965418853765332,-0.004610105993292824
9,-0.03141573411924043,0.2450330358622952,-0.7672015793846556,-0.5815865258690501,-0.2048569134730166,-0.07354773519936059,-0.01965908329822594,-0.00014862024741390327,0.02888724384472244,0.014121100941307222,0.0023232469615926685,-0.005614003341300955
10,-0.009666282267124909,-0.054442601915347,-0.7874068709834962,-0.3723837523193214,-0.22812147902026797,-0.08146696709191933,-0.013875766148536731,0.015202925723091693,0.01191213029883574,0.02808747159743782,-0.0022457830852149877,-0.005731305754718324
11,-0.01863935596106531,0.4400911931352075,-0.6127367229919701,-0.4510260953446601,-0.3199948571823503,-0.2045971275713468,0.00028198820279482493,0.0037428029690256097,0.022062102210979324,0.012246160507483377,0.0010917098522614118,-0.007470698037827478
12,0.021993390180287745,-0.04377120461637994,-0.7655267457774804,-0.5661429024788798,-0.4159734764653941,-0.06551776887009778,-0.00814494280999525,0.010530912259903014,0.008058250258065959,0.031745682072233036,-0.004631239643420696,-0.008431988131888096
